datetime,measured_surface,measured_surface_total_mean
2023-07-04 15:48:03,-4361422.39304798,-375.965705416867
2023-07-04 15:48:24,-4361974.408728572,-375.8293372220038
2023-07-04 15:48:44,-4353823.380358334,-375.7318977700044
2023-07-04 15:49:04,-4351763.58695,-376.0563898037842
2023-07-04 15:49:25,-4366387.51035,-376.1147527775348
2023-07-04 15:49:46,-4359943.101678571,-376.1848827328647
2023-07-04 15:50:06,-4356035.443611905,-375.991695341914
2023-07-04 15:50:27,-4361983.40785,-376.0936807683912
2023-07-04 15:50:47,-4350658.49745,-375.8940473504722
2023-07-04 15:51:07,-4347315.092767064,-375.7340846261112
2023-07-04 15:51:28,-4345689.125832251,-375.7583483538556
2023-07-04 15:51:49,-4339198.714834524,-375.37584818367264
2023-07-04 15:52:10,-4345612.244233333,-375.4316889893895
2023-07-04 15:52:30,-4354911.001233334,-375.90568509249175
2023-07-04 15:52:52,-4356808.031862302,-375.8069175306928
2023-07-04 15:53:13,-4354874.295671032,-375.5383812114148
2023-07-04 15:53:33,-4353977.93155635,-376.0409628007804
2023-07-04 15:53:54,-4360157.559685102,-376.01991745590414
2023-07-04 15:54:15,-4355131.313546176,-375.9015064400017
2023-07-04 15:54:35,-4321855.643607287,-375.77027174195786
2023-07-04 15:54:56,-4321264.110172222,-375.80816115307806
2023-07-04 15:55:16,-4327120.149067857,-375.78527598784194
2023-07-04 15:55:38,-4341686.015199206,-375.878980189417
2023-07-04 15:55:58,-4346184.755630159,-375.961559973896
2023-07-04 15:56:19,-4335553.740954762,-375.8389506730352
2023-07-04 15:56:40,-4338995.994740476,-375.81494046636845
2023-07-04 15:57:01,-4351478.224918254,-375.8479206645267
2023-07-04 15:57:21,-4366399.301439285,-375.9706345327489
2023-07-04 15:57:41,-3817440.2009776128,-371.9034391418355
2023-07-04 15:58:02,-4360604.104130158,-375.81700641943183
2023-07-04 15:58:23,-4364979.425834524,-375.89100268957145
2023-07-04 15:58:44,-4349328.378366667,-375.7976035171516
2023-07-04 15:59:05,-4349064.005180556,-375.96427404829234
2023-07-04 15:59:25,-4351910.327338095,-375.8293706597222
2023-07-04 15:59:46,-4360607.016988095,-375.76816966458114
2023-07-04 16:00:07,-4330284.935532143,-375.0937556382841
2023-07-04 16:00:27,-4327824.8829047615,-374.9459758071497
2023-07-04 16:00:48,-4336798.292158334,-375.2481467234628
2023-07-04 16:01:09,-4342559.838243651,-375.27875049487903
2023-07-04 16:01:30,-4350297.392542858,-375.2501377879586
2023-07-04 16:01:50,-4360459.599892063,-375.185208060955
2023-07-04 16:02:11,-4343958.128697619,-375.4112630168949
2023-07-04 16:02:32,-4342852.295967856,-375.5067087126138
2023-07-04 16:02:53,-4355095.228740476,-375.9911398731979
2023-07-04 16:03:13,-4358105.582621429,-375.6697123400563
2023-07-04 16:03:33,-4349655.390994048,-375.72579418412585
2023-07-04 16:03:53,-4348532.298775794,-375.845270164448
2023-07-04 16:04:14,-4351862.907988096,-375.9365465354296
2023-07-04 16:04:35,-4361719.080913492,-376.122968104086
2023-07-04 16:04:55,-4359792.975110714,-376.172131151821
2023-07-04 16:05:16,-4365307.183825396,-376.1052899612049
2023-07-04 16:05:36,-4354395.522060715,-376.1626204774582
2023-07-04 16:05:57,-4366126.487057936,-376.331628238681
2023-07-04 16:06:18,-4359395.125351191,-375.7772255632545
2023-07-04 16:06:39,-4362570.92363492,-376.08387068588905
2023-07-04 16:06:59,-4374239.078286905,-375.8908854329342
2023-07-04 16:07:20,-4364396.134665079,-376.1401899224807
2023-07-04 16:07:41,-4354669.790042857,-375.844105813194
2023-07-04 16:08:02,-4369366.557913492,-375.97373809938216
2023-07-04 16:08:22,-4366755.245330952,-376.0750491088936
2023-07-04 16:08:43,-4354663.823653571,-376.0631446313404
2023-07-04 16:09:03,-4350568.893984524,-375.88719831003095
2023-07-04 16:09:23,-4361617.446519048,-376.21544981688174
2023-07-04 16:09:44,-4360741.21732619,-376.3246445200105
2023-07-04 16:10:04,-4364144.245719986,-376.1053087876677
2023-07-04 16:10:25,-4364578.241844048,-376.04094752427824
2023-07-04 16:10:46,-4358864.680007936,-376.2951763090203
2023-07-04 16:11:06,-4360604.13417381,-376.1245451342063
2023-07-04 16:11:26,-4341045.200093254,-375.8164129470112
2023-07-04 16:11:47,-4320032.206271429,-375.43404910868816
2023-07-04 16:12:09,-4330871.2512746025,-375.07397491853885
2023-07-04 16:12:30,-4319664.00655653,-375.1046030187701
2023-07-04 16:12:51,-4329543.650660714,-375.395021858161
2023-07-04 16:13:12,-4361928.650841271,-376.0716527832009
2023-07-04 16:13:33,-4338515.671706349,-375.4385739877406
2023-07-04 16:13:54,-4363890.533930555,-375.6904790442617
2023-07-04 16:14:16,-4360666.529209524,-375.84594390201374
2023-07-04 16:14:36,-4352101.392988889,-375.745959967001
2023-07-04 16:14:56,-4362823.204956349,-376.0320908221381
2023-07-04 16:15:17,-4348127.428742857,-375.6762671616517
2023-07-04 16:15:38,-4346425.895833333,-375.4504205934436
2023-07-04 16:15:59,-4353336.593920635,-375.5128825031375
2023-07-04 16:16:20,-4348162.894417063,-375.5464326914737
2023-07-04 16:16:41,-4351900.613617857,-375.7992912617166
2023-07-04 16:17:01,-4368387.905750793,-375.9521377915072
2023-07-04 16:17:21,-4356197.085671429,-375.7027707599288
2023-07-04 16:17:42,-4354025.569587698,-375.7553118805454
2023-07-04 16:18:02,-4370648.071642893,-375.7304162208801
2023-07-04 16:18:22,-4367630.045810967,-375.6740914312861
2023-07-04 16:18:43,-4356013.066734921,-375.619161580204
2023-07-04 16:19:04,-4385446.821721429,-377.4102686671624
2023-07-04 16:19:24,-4355255.573120238,-376.4598926455211
2023-07-04 16:19:44,-4370630.220984921,-376.1249632853573
2023-07-04 16:20:05,-4366050.228117857,-376.36839732278673
2023-07-04 16:20:26,-4360950.304899206,-376.3728756813326
2023-07-04 16:20:47,-4361048.682174999,-376.51056085648247
2023-07-04 16:21:08,-4375180.35309881,-376.344572538747
2023-07-04 16:21:29,-4366363.665211905,-376.1376752400399
2023-07-04 16:21:50,-4377993.938861905,-375.99517423387454
2023-07-04 16:22:10,-4355830.627917857,-375.6244580639562
2023-07-04 16:22:31,-4366393.337345239,-376.046077958036
2023-07-04 16:22:52,-4370531.277329762,-376.2799061513854
2023-07-04 16:23:12,-4339000.472409524,-375.4600018900344
2023-07-04 16:23:33,-4348956.083648809,-375.5941194384449
